run_id,source,method,seed,scenario,status,task_id,learned_classes,overall_accuracy,old_accuracy,new_accuracy,bus_accuracy,train_accuracy,wolf_accuracy,mean_old_logits,mean_new_logits,logit_gap,training_seconds,peak_gpu_memory_mb,trainable_parameters
diag_D0_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D0_seed1993_20260716T132125.json,D0,1993,legacy_head_diagnostic,complete,3,12,8.33333358168602,0.0,100.0,0.0,100.0,,-14.606626510620117,12.304798126220703,26.91142463684082,0.39243569999962347,85.1884765625,49164
diag_D0_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D0_seed1993_20260716T132125.json,D0,1993,legacy_head_diagnostic,complete,4,12,8.33333358168602,0.0,100.0,0.0,100.0,,-14.598827362060547,12.342339515686035,26.941166877746582,0.39243569999962347,85.1884765625,49164
diag_D0_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D0_seed1993_20260716T132125.json,D0,1993,legacy_head_diagnostic,complete,5,12,8.33333358168602,0.0,100.0,0.0,100.0,,-14.624185562133789,12.362486839294434,26.986672401428223,0.39243569999962347,85.1884765625,49164
diag_D1_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131922.json,D1,1993,legacy_head_diagnostic,complete,0,12,8.33333358168602,0.0,100.0,0.0,100.0,,-5.9275922775268555,7.772850036621094,13.70044231414795,0.19838940000045113,37.4384765625,49164
diag_D1_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131922.json,D1,1993,legacy_head_diagnostic,complete,1,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.190640926361084,9.86543083190918,17.056071758270264,0.19838940000045113,37.4384765625,49164
diag_D1_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131922.json,D1,1993,legacy_head_diagnostic,complete,2,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.566125392913818,10.476061820983887,18.042187213897705,0.19838940000045113,37.4384765625,49164
diag_D1_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131922.json,D1,1993,legacy_head_diagnostic,complete,3,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.758274078369141,10.738131523132324,18.496405601501465,0.19838940000045113,37.4384765625,49164
diag_D1_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131922.json,D1,1993,legacy_head_diagnostic,complete,4,12,8.33333358168602,0.0,100.0,0.0,100.0,,-8.004945755004883,10.939064979553223,18.944010734558105,0.19838940000045113,37.4384765625,49164
diag_D1_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131922.json,D1,1993,legacy_head_diagnostic,complete,5,12,8.500000089406967,0.18181817775422876,100.0,0.0,100.0,,-8.197660446166992,11.17343807220459,19.371098518371582,0.19838940000045113,37.4384765625,49164
diag_D1_seed1993_20260716T131950,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131950.json,D1,1993,legacy_head_diagnostic,complete,0,12,8.33333358168602,0.0,100.0,0.0,100.0,,-5.9275922775268555,7.772850036621094,13.70044231414795,0.20454510000126902,85.1884765625,49164
diag_D1_seed1993_20260716T131950,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131950.json,D1,1993,legacy_head_diagnostic,complete,1,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.190640926361084,9.86543083190918,17.056071758270264,0.20454510000126902,85.1884765625,49164
diag_D1_seed1993_20260716T131950,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131950.json,D1,1993,legacy_head_diagnostic,complete,2,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.566125392913818,10.476061820983887,18.042187213897705,0.20454510000126902,85.1884765625,49164
diag_D1_seed1993_20260716T131950,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131950.json,D1,1993,legacy_head_diagnostic,complete,3,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.758274078369141,10.738131523132324,18.496405601501465,0.20454510000126902,85.1884765625,49164
diag_D1_seed1993_20260716T131950,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131950.json,D1,1993,legacy_head_diagnostic,complete,4,12,8.33333358168602,0.0,100.0,0.0,100.0,,-8.004945755004883,10.939064979553223,18.944010734558105,0.20454510000126902,85.1884765625,49164
diag_D1_seed1993_20260716T131950,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T131950.json,D1,1993,legacy_head_diagnostic,complete,5,12,8.500000089406967,0.18181817775422876,100.0,0.0,100.0,,-8.197660446166992,11.17343807220459,19.371098518371582,0.20454510000126902,85.1884765625,49164
diag_D1_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T132125.json,D1,1993,legacy_head_diagnostic,complete,0,12,8.33333358168602,0.0,100.0,0.0,100.0,,-5.9275922775268555,7.772850036621094,13.70044231414795,0.21169630000076722,85.1884765625,49164
diag_D1_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T132125.json,D1,1993,legacy_head_diagnostic,complete,1,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.190640926361084,9.86543083190918,17.056071758270264,0.21169630000076722,85.1884765625,49164
diag_D1_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T132125.json,D1,1993,legacy_head_diagnostic,complete,2,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.566125392913818,10.476061820983887,18.042187213897705,0.21169630000076722,85.1884765625,49164
diag_D1_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T132125.json,D1,1993,legacy_head_diagnostic,complete,3,12,8.33333358168602,0.0,100.0,0.0,100.0,,-7.758274078369141,10.738131523132324,18.496405601501465,0.21169630000076722,85.1884765625,49164
diag_D1_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T132125.json,D1,1993,legacy_head_diagnostic,complete,4,12,8.33333358168602,0.0,100.0,0.0,100.0,,-8.004945755004883,10.939064979553223,18.944010734558105,0.21169630000076722,85.1884765625,49164
diag_D1_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D1_seed1993_20260716T132125.json,D1,1993,legacy_head_diagnostic,complete,5,12,8.500000089406967,0.18181817775422876,100.0,0.0,100.0,,-8.197660446166992,11.17343807220459,19.371098518371582,0.21169630000076722,85.1884765625,49164
diag_D2_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131922.json,D2,1993,legacy_head_diagnostic,complete,0,12,59.08333659172058,56.90908973867243,82.99999833106995,43.99999976158142,82.99999833106995,,-3.4740960597991943,10.75072956085205,14.224825620651245,0.2103547000006074,37.4384765625,49164
diag_D2_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131922.json,D2,1993,legacy_head_diagnostic,complete,1,12,20.16666680574417,12.909090468152003,100.0,0.0,100.0,,-3.4740960597991943,15.892239570617676,19.36633563041687,0.2103547000006074,37.4384765625,49164
diag_D2_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131922.json,D2,1993,legacy_head_diagnostic,complete,2,12,12.749999761581421,4.818181625821373,100.0,0.0,100.0,,-3.4740960597991943,17.328359603881836,20.80245566368103,0.2103547000006074,37.4384765625,49164
diag_D2_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131922.json,D2,1993,legacy_head_diagnostic,complete,3,12,10.41666716337204,2.2727271711284462,100.0,0.0,100.0,,-3.4740960597991943,17.770483016967773,21.244579076766968,0.2103547000006074,37.4384765625,49164
diag_D2_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131922.json,D2,1993,legacy_head_diagnostic,complete,4,12,10.083333402872086,1.9090908156199888,100.0,0.0,100.0,,-3.4740960597991943,17.96455955505371,21.438655614852905,0.2103547000006074,37.4384765625,49164
diag_D2_seed1993_20260716T131922,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131922.json,D2,1993,legacy_head_diagnostic,complete,5,12,9.583333879709244,1.3636363500898534,100.0,0.0,100.0,,-3.4740960597991943,18.123056411743164,21.59715247154236,0.2103547000006074,37.4384765625,49164
diag_D2_seed1993_20260716T131951,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131951.json,D2,1993,legacy_head_diagnostic,complete,0,12,59.08333659172058,56.90908973867243,82.99999833106995,43.99999976158142,82.99999833106995,,-3.4740960597991943,10.75072956085205,14.224825620651245,0.21579499999643303,85.1884765625,49164
diag_D2_seed1993_20260716T131951,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131951.json,D2,1993,legacy_head_diagnostic,complete,1,12,20.16666680574417,12.909090468152003,100.0,0.0,100.0,,-3.4740960597991943,15.892239570617676,19.36633563041687,0.21579499999643303,85.1884765625,49164
diag_D2_seed1993_20260716T131951,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131951.json,D2,1993,legacy_head_diagnostic,complete,2,12,12.749999761581421,4.818181625821373,100.0,0.0,100.0,,-3.4740960597991943,17.328359603881836,20.80245566368103,0.21579499999643303,85.1884765625,49164
diag_D2_seed1993_20260716T131951,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131951.json,D2,1993,legacy_head_diagnostic,complete,3,12,10.41666716337204,2.2727271711284462,100.0,0.0,100.0,,-3.4740960597991943,17.770483016967773,21.244579076766968,0.21579499999643303,85.1884765625,49164
diag_D2_seed1993_20260716T131951,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131951.json,D2,1993,legacy_head_diagnostic,complete,4,12,10.083333402872086,1.9090908156199888,100.0,0.0,100.0,,-3.4740960597991943,17.96455955505371,21.438655614852905,0.21579499999643303,85.1884765625,49164
diag_D2_seed1993_20260716T131951,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T131951.json,D2,1993,legacy_head_diagnostic,complete,5,12,9.583333879709244,1.3636363500898534,100.0,0.0,100.0,,-3.4740960597991943,18.123056411743164,21.59715247154236,0.21579499999643303,85.1884765625,49164
diag_D2_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T132125.json,D2,1993,legacy_head_diagnostic,complete,0,12,59.08333659172058,56.90908973867243,82.99999833106995,43.99999976158142,82.99999833106995,,-3.4740960597991943,10.75072956085205,14.224825620651245,0.2209391000069445,85.1884765625,49164
diag_D2_seed1993_20260716T132125,D:\Pro_Experiment\github_sync\CIL-Project\cil_restart\results\raw\diag_D2_seed1993_20260716T132125.json,D2,1993,legacy_head_diagnostic,complete,1,12,20.16666680574417,12.909090468152003,100.0,0.0,100.0,,-3.4740960597991943,15.892239570617676,19.36633563041687,0.2209391000069445,85.1884765625,49164
